Version,Gay

word,testType,correctResponse,wordCategory,responseTime,numErrors,errorTime,orderInSet
bisexuality,Practice2,I,Gay,0.1889877,1,0.08052254,16
lesbianism,Practice2,I,Gay,0.1836205,1,0.06402588,17
lesbian,Practice2,I,Gay,0.1920185,1,0.02393723,18
immoral,Practice2,I,Bad,0.1835518,0,0,19
lovely,Practice2,E,Good,0.1767025,0,0,20
queer,Practice2,I,Gay,0.1916542,0,0,21
LGBT,Practice2,I,Gay,0.2086182,1,0.1194611,22

word,testType,correctResponse,wordCategory,responseTime,numErrors,errorTime,orderInSet
homosexuality,Test2,I,Gay,0.4156532,1,0.264473,0
evil,Test2,I,Bad,0.2876453,1,0.1040688,1
great,Test2,E,Good,0.1040573,0,0,2
amazing,Test2,E,Good,0.2241879,1,0.1358604,3
disgusting,Test2,I,Bad,0.07234573,0,0,4
gay,Test2,I,Gay,0.1926937,1,0.06534958,5
great,Test2,E,Good,0.1271954,0,0,6
shameful,Test2,I,Bad,0.07988739,0,0,7
bisexuality,Test2,I,Gay,0.3778629,1,0.2103386,8
immoral,Test2,I,Bad,0.2461205,1,0.1037312,9
homosexuality,Test2,I,Gay,0.2163601,1,0.06437683,10
lovely,Test2,E,Good,0.1833096,0,0,11
lovely,Test2,E,Good,0.2161369,1,0.1267605,12
lesbianism,Test2,I,Gay,0.08038712,0,0,13
amazing,Test2,E,Good,0.1523075,0,0,14
bisexual,Test2,I,Gay,0.2720852,0,0,15
lesbianism,Test2,I,Gay,0.3436127,0,0,16
evil,Test2,I,Bad,0.2239723,1,0.1115875,17
lesbian,Test2,I,Gay,0.1920891,1,0.1040306,18
perverted,Test2,I,Bad,6.897057,1,6.825203,19
perverted,Test2,I,Bad,0.1992722,1,0.1839638,20
delightful,Test2,E,Good,0.06523895,0,0,21
lovely,Test2,E,Good,0.1831551,1,0.0883522,22
pleasant,Test2,E,Good,0.167614,1,0.1007767,23
pleasant,Test2,E,Good,0.1602402,1,0.1035118,24
queer,Test2,I,Gay,0.06521225,0,0,25
bisexual,Test2,I,Gay,0.1911163,1,0.06450653,26
enjoyable,Test2,E,Good,0.1115417,0,0,27
lesbianism,Test2,I,Gay,0.04005814,0,0,28
wonderful,Test2,E,Good,0.1128273,0,0,29
gross,Test2,I,Bad,0.06394577,0,0,30
lesbian,Test2,I,Gay,0.1836777,1,0.04797363,31
queer,Test2,I,Gay,0.3358994,1,0.1446686,32
delightful,Test2,E,Good,0.05598068,0,0,33
LGBT,Test2,I,Gay,0.1119308,0,0,34
bisexual,Test2,I,Gay,0.1683617,1,0.0879631,35
awful,Test2,I,Bad,0.1837234,1,0.0957489,36
awful,Test2,I,Bad,0.1764069,1,0.0800972,37
lesbian,Test2,I,Gay,0.1921196,1,0.06655121,38
wonderful,Test2,E,Good,0.1113396,0,0,39
awful,Test2,I,Bad,0.06443787,0,0,40
gay,Test2,I,Gay,0.184391,1,0.0802269,41
disgusting,Test2,I,Bad,0.184082,1,0.0803566,42
amazing,Test2,E,Good,0.09560394,0,0,43
queer,Test2,I,Gay,0.09574509,0,0,44
bisexuality,Test2,I,Gay,0.1919861,1,0.1122093,45
disgusting,Test2,I,Bad,0.1845894,1,0.08840179,46
evil,Test2,I,Bad,0.1675301,1,0.06446457,47
beautiful,Test2,E,Good,0.1204796,0,0,48
homosexuality,Test2,I,Gay,0.07178116,0,0,49
delightful,Test2,E,Good,0.1277847,0,0,50
LGBT,Test2,I,Gay,0.07202911,0,0,51
beautiful,Test2,E,Good,0.1118546,0,0,52
shameful,Test2,I,Bad,0.06381607,0,0,53
enjoyable,Test2,E,Good,0.1271553,0,0,54
immoral,Test2,I,Bad,0.0573349,0,0,55
gross,Test2,I,Bad,0.1847839,1,0.08132935,56
gay,Test2,I,Gay,0.2155151,1,0.1122398,57
enjoyable,Test2,E,Good,0.05553055,0,0,58
beautiful,Test2,E,Good,0.223793,1,0.1200714,59
shameful,Test2,I,Bad,0.0643158,0,0,60
LGBT,Test2,I,Gay,0.2010117,1,0.0891304,61
pleasant,Test2,E,Good,0.110981,0,0,62
great,Test2,E,Good,0.175766,1,0.1036377,63
perverted,Test2,I,Bad,0.08045578,0,0,64
wonderful,Test2,E,Good,0.1273003,0,0,65
bisexuality,Test2,I,Gay,0.02466583,0,0,66
immoral,Test2,I,Bad,0.2080231,1,0.05599213,67
gross,Test2,I,Bad,0.1843452,1,0.06449127,68



Version,Gay
