Version,Gay

word,testType,correctResponse,wordCategory,responseTime,numErrors,errorTime,orderInSet
word,testType,correctResponse,wordCategory,responseTime,numErrors,errorTime,orderInSet
wonderful,Practice2,E,Good,0,1199837,0,41,79729,0
gross,Practice2,I,Bad,0,05579376,0,41,85309,1
bisexual,Practice2,I,Gay,0,1840744,0,42,03716,2
lesbianism,Practice2,I,Gay,0,2414246,1,0,09721756,3
queer,Practice2,I,Gay,0,1591721,1,0,05622482,4
great,Practice2,E,Good,0,1123123,0,42,55007,5
lesbian,Practice2,I,Gay,0,04711151,0,42,59718,6
immoral,Practice2,I,Bad,0,1851006,1,0,05627441,7
gay,Practice2,I,Gay,0,1764908,1,0,07284546,8
amazing,Practice2,E,Good,0,1107712,0,43,06955,9
pleasant,Practice2,E,Good,0,1683693,1,0,1033974,10
disgusting,Practice2,I,Bad,0,07258224,0,43,3105,11
beautiful,Practice2,E,Good,0,1028023,0,43,4133,12
shameful,Practice2,I,Bad,0,05679321,0,43,47009,13
LGBT,Practice2,I,Gay,0,1841736,1,0,08059692,14
perverted,Practice2,I,Bad,0,1923332,1,0,07281876,15
lovely,Practice2,E,Good,0,09499741,0,43,9416,16
bisexuality,Practice2,I,Gay,0,0642662,0,44,00586,17
evil,Practice2,I,Bad,0,4568634,2,0,05685425,18
homosexuality,Practice2,I,Gay,0,1988029,1,0,06396103,19
enjoyable,Practice2,E,Good,0,160778,0,44,82231,20
awful,Practice2,I,Bad,0,02955627,0,44,85186,21
delightful,Practice2,E,Good,0,1458855,0,44,99775,22

word,testType,correctResponse,wordCategory,responseTime,numErrors,errorTime,orderInSet
evil,Test2,I,Bad,0,09612274,0,45,09387,0
awful,Test2,I,Bad,0,1845093,1,0,05642319,1
enjoyable,Test2,E,Good,0,2000694,0,45,47845,2
gay,Test2,I,Gay,0,1675797,0,45,64603,3
bisexuality,Test2,I,Gay,0,2162323,1,0,08074188,4
lesbian,Test2,I,Gay,0,2005844,1,0,06494904,5
disgusting,Test2,I,Bad,0,2147636,1,0,1031532,6
evil,Test2,I,Bad,0,193325,1,0,07253647,7
pleasant,Test2,E,Good,0,1429749,0,46,61391,8
amazing,Test2,E,Good,0,1761322,1,0,1444664,9
shameful,Test2,I,Bad,0,03223038,0,46,82227,10
immoral,Test2,I,Bad,0,3273888,1,0,1652451,11
enjoyable,Test2,E,Good,0,02495956,0,47,17462,12
lovely,Test2,E,Good,0,2639008,0,47,43852,13
LGBT,Test2,I,Gay,0,09574127,0,47,53426,14
perverted,Test2,I,Bad,0,183918,1,0,07954788,15
wonderful,Test2,E,Good,0,1194992,0,47,83768,16
gross,Test2,I,Bad,0,07314682,0,47,91083,17
pleasant,Test2,E,Good,0,1192322,0,48,03006,18
disgusting,Test2,I,Bad,0,07227707,0,48,10234,19
amazing,Test2,E,Good,0,1037636,0,48,2061,20
evil,Test2,I,Bad,0,08096313,0,48,28706,21
wonderful,Test2,E,Good,0,1346664,0,48,42173,22
amazing,Test2,E,Good,0,2001381,1,0,1437569,23
homosexuality,Test2,I,Gay,0,0888176,0,48,71069,24
homosexuality,Test2,I,Gay,0,1679688,1,0,05661774,25
beautiful,Test2,E,Good,0,1273422,0,49,006,26
gross,Test2,I,Bad,0,06430435,0,49,0703,27
homosexuality,Test2,I,Gay,0,1838493,1,0,05635834,28
great,Test2,E,Good,0,1681824,0,49,42233,29
gay,Test2,I,Gay,0,05628586,0,49,47862,30
immoral,Test2,I,Bad,0,1676674,1,0,02437592,31
delightful,Test2,E,Good,0,1771812,0,49,82347,32
beautiful,Test2,E,Good,0,1744614,0,49,99793,33
awful,Test2,I,Bad,0,03279877,0,50,03073,34
bisexual,Test2,I,Gay,0,4325256,2,0,08129883,35
lovely,Test2,E,Good,0,11166,0,50,57491,36
gay,Test2,I,Gay,0,04751968,0,50,62243,37
lesbianism,Test2,I,Gay,0,1675987,1,0,02296066,38
lovely,Test2,E,Good,0,2085876,1,0,03937149,39
immoral,Test2,I,Bad,0,1202087,0,51,11883,40
perverted,Test2,I,Bad,0,1758881,1,0,07937622,41
gross,Test2,I,Bad,0,2167358,1,0,0811882,42
beautiful,Test2,E,Good,0,1106186,0,51,62207,43
queer,Test2,I,Gay,0,06401062,0,51,68608,44
lesbianism,Test2,I,Gay,0,2245369,1,0,0956955,45
lesbian,Test2,I,Gay,0,2011528,1,0,09693527,46
bisexual,Test2,I,Gay,0,1668777,1,0,05597305,47
pleasant,Test2,E,Good,0,1444664,0,52,42311,48
bisexual,Test2,I,Gay,0,05648041,0,52,4796,49
wonderful,Test2,E,Good,0,1589737,0,52,63857,50
great,Test2,E,Good,0,1762924,1,0,1526451,51
LGBT,Test2,I,Gay,0,02370453,0,52,83857,52
lesbian,Test2,I,Gay,0,3445625,1,0,1600304,53
great,Test2,E,Good,0,08797836,0,53,27111,54
delightful,Test2,E,Good,0,1846085,1,0,09732819,55
delightful,Test2,E,Good,0,2148972,1,0,1353722,56
queer,Test2,I,Gay,0,05612183,0,53,72673,57
bisexuality,Test2,I,Gay,0,1916504,1,0,06385803,58
enjoyable,Test2,E,Good,0,136776,0,54,05516,59
awful,Test2,I,Bad,0,06401062,0,54,11917,60
shameful,Test2,I,Bad,0,3911324,2,0,03917313,61
LGBT,Test2,I,Gay,0,1696243,0,54,67993,62
queer,Test2,I,Gay,0,2225685,1,0,04795837,63
perverted,Test2,I,Bad,0,2326927,1,0,04842758,64
shameful,Test2,I,Bad,0,1839333,1,0,02446747,65
lesbianism,Test2,I,Gay,0,1996155,1,0,04743195,66
disgusting,Test2,I,Bad,0,1998749,1,0,03998947,67
bisexuality,Test2,I,Gay,0,3613663,1,0,1845284,68



Version,Gay
Game won,No
Date,01.12.2022 0:00:00
word,testType,correctResponse,wordCategory,responseTime,numErrors,errorTime,orderInSet
awful,Practice1,I,Bad,1,216049,0,151,1145,0
bisexuality,Practice1,E,Gay,0,680191,0,151,7947,1
pleasant,Practice1,E,Good,0,7523804,0,152,5471,2
lesbian,Practice1,E,Gay,0,6317444,0,153,1789,3
evil,Practice1,I,Bad,1,119781,1,0,5278015,4
disgusting,Practice1,I,Bad,0,7524109,0,155,0511,5
amazing,Practice1,E,Good,0,7117462,0,155,7628,6
beautiful,Practice1,E,Good,0,7519531,0,156,5148,7
homosexuality,Practice1,E,Gay,0,6573639,0,157,1721,8
queer,Practice1,E,Gay,3,632065,0,160,8042,9
wonderful,Practice1,E,Good,0,4551849,0,161,2594,10
perverted,Practice1,I,Bad,0,792923,1,0,3366852,11
great,Practice1,E,Good,0,4232178,0,162,4755,12
gay,Practice1,E,Gay,0,6090546,0,163,0846,13
lesbianism,Practice1,E,Gay,0,5597229,0,163,6443,14
delightful,Practice1,E,Good,1,440079,0,165,0844,15
lovely,Practice1,E,Good,0,5914764,0,165,6758,16
immoral,Practice1,I,Bad,1,064026,1,0,4715729,17
LGBT,Practice1,E,Gay,0,3442993,0,167,0842,18
bisexual,Practice1,E,Gay,0,4164124,0,167,5006,19
shameful,Practice1,I,Bad,0,8233643,1,0,4857483,20
gross,Practice1,I,Bad,0,8562622,1,0,4465027,21
enjoyable,Practice1,E,Good,1,14418,1,0,3112946,22

word,testType,correctResponse,wordCategory,responseTime,numErrors,errorTime,orderInSet
great,Test1,E,Good,0,4488525,0,170,7732,0
evil,Test1,I,Bad,0,8553162,1,0,4391632,1
gross,Test1,I,Bad,0,8960266,1,0,5200195,2
bisexuality,Test1,E,Gay,0,4413757,1,0,08049011,3
perverted,Test1,I,Bad,0,1347809,0,173,1007,4
immoral,Test1,I,Bad,0,1928406,1,0,08802795,5
bisexuality,Test1,E,Gay,0,08694458,0,173,3805,6
bisexual,Test1,E,Gay,0,1841125,1,0,103653,7
immoral,Test1,I,Bad,0,06434631,0,173,629,8
shameful,Test1,I,Bad,0,1599121,1,0,04815674,9
perverted,Test1,I,Bad,0,1842804,1,0,05601501,10
wonderful,Test1,E,Good,0,1276855,0,174,1009,11
awful,Test1,I,Bad,0,04803467,0,174,1489,12
gross,Test1,I,Bad,0,1837158,1,0,05587769,13
lovely,Test1,E,Good,0,1120148,0,174,4446,14
shameful,Test1,I,Bad,0,08045959,0,174,5251,15
perverted,Test1,I,Bad,0,5916595,0,175,1167,16
lesbianism,Test1,E,Gay,0,5527649,0,175,6695,17
immoral,Test1,I,Bad,0,7677155,0,176,4372,18
delightful,Test1,E,Good,0,5599518,0,176,9972,19
wonderful,Test1,E,Good,0,6005859,0,177,5978,20
great,Test1,E,Good,0,5281372,1,0,08760071,21
homosexuality,Test1,E,Gay,0,1762085,1,0,08856201,22
awful,Test1,I,Bad,0,2634583,1,0,07911682,23
disgusting,Test1,I,Bad,0,1607971,1,0,05618286,24
lesbian,Test1,E,Gay,0,1027832,0,178,8291,25
lovely,Test1,E,Good,0,1848145,1,0,1206207,26
evil,Test1,I,Bad,0,04821777,0,179,0622,27
evil,Test1,I,Bad,0,3513794,2,0,02368164,28
